estado;nome;Unemployed_2007;Unemployed_2008;Unemployed_2009;Unemployed_2010;Unemployed_2011;Unemployed_2012;Unemployed_2013;Unemployed_2014;Unemployed_2015;Unemployed_2016;quantidade
IN;Lawrence County, IN;1437;1830;2867;2628;2416;2253;2088;1641;1327;1171;1966
IN;Madison County, IN;3839;4261;6805;7164;6410;5794;5420;4119;3300;2975;5009
IN;Marion County, IN;20828;26077;42671;47765;45053;42290;39482;30509;23939;21480;34009
IN;Marshall County, IN;1102;1693;3042;2653;2222;1889;1712;1296;1001;916;1753
IN;Martin County, IN;200;250;380;397;401;360;313;264;212;214;299
IN;Miami County, IN;933;1319;2339;1991;1665;1520;1357;1033;819;760;1374
IN;Monroe County, IN;2560;3168;4564;5361;5088;4848;4562;3852;3309;3155;4047
IN;Montgomery County, IN;742;942;1907;1926;1659;1522;1322;1008;769;737;1253
IN;Morgan County, IN;1537;2160;3363;3632;3265;2919;2636;2026;1662;1528;2473
IN;Newton County, IN;366;436;764;803;690;665;620;483;404;395;563
IN;Noble County, IN;1258;1928;3803;3027;2331;1947;1659;1199;1008;949;1911
IN;Ohio County, IN;149;189;333;361;305;283;263;221;176;157;244
IN;Orange County, IN;537;663;1117;1162;1049;945;869;659;521;453;798
IN;Owen County, IN;551;730;1088;1190;1138;1065;971;766;585;515;860
IN;Parke County, IN;399;485;803;802;752;716;640;483;398;381;586
IN;Perry County, IN;431;502;981;944;825;745;695;535;435;438;653
IN;Pike County, IN;258;340;559;588;487;451;426;321;269;277;398
IN;Porter County, IN;3183;4036;7868;7731;6722;6266;6004;5196;4543;4417;5597
IN;Posey County, IN;568;650;1074;1054;923;891;820;627;528;534;767
IN;Pulaski County, IN;282;383;704;634;517;463;430;334;284;289;432
IN;Putnam County, IN;937;1191;1877;1942;1797;1617;1400;1077;837;749;1342
IN;Randolph County, IN;714;877;1536;1533;1351;1220;1090;808;630;570;1033
IN;Ripley County, IN;631;837;1490;1629;1412;1245;1171;898;730;642;1069
IN;Rush County, IN;428;569;954;967;818;712;618;478;382;339;627
IN;St Joseph County, IN;6492;8727;14838;15078;13220;12080;11069;8425;6560;6061;10255
IN;Scott County, IN;580;720;1417;1395;1232;1048;915;691;560;511;907
IN;Shelby County, IN;1025;1395;2468;2491;2132;1865;1641;1273;1006;921;1622
IN;Spencer County, IN;435;532;956;966;846;779;713;550;454;452;668
IN;Starke County, IN;618;830;1522;1392;1179;1072;967;739;626;590;954
IN;Steuben County, IN;988;1212;2371;2053;1663;1378;1211;955;781;744;1336
IN;Sullivan County, IN;492;594;879;915;827;821;788;617;539;514;699
IN;Switzerland County, IN;221;287;449;467;407;378;364;282;241;243;334
IN;Tippecanoe County, IN;3219;3939;7679;7667;6533;6154;5962;4580;3947;3800;5348
IN;Tipton County, IN;359;550;939;825;716;622;536;422;335;331;564
IN;Union County, IN;170;223;361;383;324;287;254;199;159;147;251
IN;Vanderburgh County, IN;4261;4749;7439;8233;7418;7039;6491;4954;3931;3828;5834
IN;Vermillion County, IN;443;565;965;1011;898;851;788;619;514;477;713
IN;Vigo County, IN;2654;3239;5154;5727;5204;4972;4657;3755;3000;2663;4103
IN;Wabash County, IN;820;1242;2132;1822;1502;1332;1179;859;736;665;1229
IN;Warren County, IN;160;197;487;443;347;310;366;249;203;200;296
IN;Warrick County, IN;1185;1439;2395;2472;2208;2096;1934;1528;1289;1307;1785
IN;Washington County, IN;734;937;1677;1688;1434;1244;1149;884;701;629;1108
IN;Wayne County, IN;1816;2365;3987;4020;3445;3036;2650;2014;1630;1484;2645
IN;Wells County, IN;609;831;1518;1380;1157;984;867;659;550;508;906
IN;White County, IN;542;717;1374;1362;1134;1015;889;681;553;546;881
IN;Whitley County, IN;793;1136;2246;2024;1616;1346;1171;867;700;673;1257
IA;Iowa;61345;70598;108163;100834;92199;83262;79659;72944;64902;62395;79630
IA;Adair County, IA;154;178;245;227;199;177;172;168;139;129;179
IA;Adams County, IA;87;90;131;108;98;87;79;75;65;60;88
IA;Allamakee County, IA;388;510;772;620;556;489;487;440;383;388;503
IA;Appanoose County, IA;407;333;541;451;419;390;379;355;310;298;388
IA;Audubon County, IA;128;146;192;194;193;154;159;142;131;110;155
IA;Benton County, IA;555;607;930;887;819;731;701;646;546;499;692
IA;Black Hawk County, IA;2708;3042;4578;4388;4135;3869;3679;3577;3283;3280;3654
IA;Boone County, IA;505;566;939;848;727;631;606;522;471;432;625
IA;Bremer County, IA;430;497;752;679;604;532;532;525;501;508;556
IA;Buchanan County, IA;460;459;742;679;632;530;531;539;491;471;553
IA;Buena Vista County, IA;328;384;565;540;511;467;449;459;432;416;455
IA;Butler County, IA;331;398;558;496;411;371;376;358;369;357;403
IA;Calhoun County, IA;170;186;272;280;257;244;227;216;195;175;222
IA;Carroll County, IA;321;355;522;505;468;425;380;359;301;297;393
IA;Cass County, IA;314;352;518;464;434;374;370;323;275;245;367
IA;Cedar County, IA;352;416;640;592;561;485;468;426;384;368;469
IA;Cerro Gordo County, IA;1001;1235;1771;1681;1481;1325;1267;1091;926;846;1262
IA;Cherokee County, IA;239;230;302;319;329;297;295;341;334;234;292
IA;Chickasaw County, IA;272;341;618;485;406;327;319;310;296;288;366
IA;Clarke County, IA;200;229;376;367;329;277;254;211;199;167;261
IA;Clay County, IA;303;336;653;548;503;448;399;377;327;345;424
IA;Clayton County, IA;469;549;857;745;639;578;571;513;434;448;580
IA;Clinton County, IA;1021;1195;2047;1858;1710;1542;1441;1315;1244;1202;1458
IA;Crawford County, IA;306;313;442;421;417;391;384;360;373;472;388
IA;Dallas County, IA;929;1116;1727;1700;1631;1530;1482;1418;1276;1195;1400
IA;Davis County, IA;184;205;370;303;255;236;228;213;190;187;237
IA;Decatur County, IA;170;164;283;271;217;188;194;170;148;146;195
IA;Delaware County, IA;382;431;731;627;559;459;449;401;368;381;479
IA;Des Moines County, IA;930;1225;1703;1504;1369;1235;1243;1053;987;1009;1226
IA;Dickinson County, IA;380;429;668;631;583;518;499;459;404;451;502
IA;Dubuque County, IA;2066;2301;3494;3136;2748;2473;2512;2319;2080;1991;2512
IA;Emmet County, IA;218;237;486;412;324;255;234;229;215;244;285
IA;Fayette County, IA;478;586;945;787;686;587;565;546;500;486;617
IA;Floyd County, IA;389;507;750;619;537;507;459;384;335;325;481
IA;Franklin County, IA;209;261;435;376;306;260;264;239;204;212;277
IA;Fremont County, IA;159;177;261;235;229;205;174;163;140;134;188
IA;Greene County, IA;176;200;301;306;290;254;241;215;199;181;236
